SN,CAS Number,Chemical Name,Chemical Grade,Chemical Analysis,Chemical Purity,Species Scientific Name,Species Common Name,Species Group,Organism Lifestage,Organism Age,Age Units,Exposure Type,Media Type,Test Location,Number of Doses,Conc 1 Type (Standardized),Conc 1 Mean Op (Standardized),Conc 1 Mean (Standardized),Conc 1 Min Op (Standardized),Conc Min 1 (Standardized),Conc 1 Max Op (Standardized),Conc 1 Max (Standardized),Conc 1 Units (Standardized),Effect,Effect Measurement,Endpoint,Response Site,Observed Duration (Days),Observed Duration Units (Days),BCF 1 Value Op,BCF 1 Value,BCF 1 Min Op,BCF 1 Min,BCF 1 Max Op,BCF 1 Max,BCF 1 Unit,BCF 2 Value Op,BCF 2 Value,BCF 2 Min Op,BCF 2 Min,BCF 2 Max Op,BCF 2 Max,BCF 2 Unit,BCF 3 Value Op,BCF 3 Value,BCF 3 Min Op,BCF 3 Min,BCF 3 Max Op,BCF 3 Max,BCF 3 Unit,Author,Reference Number,Title,Source,Publication Year,Summary of Additional Parameters
SN1385,2795393,"1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Heptadecafluoro-1-octanesulfonic acid potassium salt",,Measured,NR,Myriophyllum sibiricum,Water Milfoil,"Flowers, Trees, Shrubs, Ferns",Shoot,NR,,Lentic ,Fresh water,Field artificial,5,Active ingredient,,22.2,,10.9,,33.6,AI mg/L,Biochemistry,Chlorophyll B concentration,EC50,,14,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Hanson,M.L., P.K. Sibley, R.A. Brain, S.A. Mabury, and K.R. Solomon",80833,Microcosm Evaluation of the Toxicity and Risk to Aquatic Macrophytes from Perfluorooctane Sulfonic Acid,Arch. Environ. Contam. Toxicol.48(3): 329-337,2005,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN1386,2795393,"1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Heptadecafluoro-1-octanesulfonic acid potassium salt",,Measured,NR,Myriophyllum sibiricum,Water Milfoil,"Flowers, Trees, Shrubs, Ferns",Shoot,NR,,Lentic ,Fresh water,Field artificial,5,Active ingredient,,2.2,,0,,4.5,AI mg/L,Growth,Biomass,EC50,,42,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Hanson,M.L., P.K. Sibley, R.A. Brain, S.A. Mabury, and K.R. Solomon",80833,Microcosm Evaluation of the Toxicity and Risk to Aquatic Macrophytes from Perfluorooctane Sulfonic Acid,Arch. Environ. Contam. Toxicol.48(3): 329-337,2005,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN1387,2795393,"1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Heptadecafluoro-1-octanesulfonic acid potassium salt",,Measured,NR,Myriophyllum spicatum,Eurasian Watermilfoil,"Flowers, Trees, Shrubs, Ferns",Shoot,NR,,Lentic ,Fresh water,Field artificial,5,Active ingredient,,9.9,,0,,23.1,AI mg/L,Development,Organ/tissue formation,EC10,Node,28,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Hanson,M.L., P.K. Sibley, R.A. Brain, S.A. Mabury, and K.R. Solomon",80833,Microcosm Evaluation of the Toxicity and Risk to Aquatic Macrophytes from Perfluorooctane Sulfonic Acid,Arch. Environ. Contam. Toxicol.48(3): 329-337,2005,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN1388,2795393,"1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Heptadecafluoro-1-octanesulfonic acid potassium salt",,Measured,NR,Myriophyllum spicatum,Eurasian Watermilfoil,"Flowers, Trees, Shrubs, Ferns",Shoot,NR,,Lentic ,Fresh water,Field artificial,5,Active ingredient,,8.6,,3.1,,14.1,AI mg/L,Biochemistry,Carotenoid content,EC10,,42,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Hanson,M.L., P.K. Sibley, R.A. Brain, S.A. Mabury, and K.R. Solomon",80833,Microcosm Evaluation of the Toxicity and Risk to Aquatic Macrophytes from Perfluorooctane Sulfonic Acid,Arch. Environ. Contam. Toxicol.48(3): 329-337,2005,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN1389,2795393,"1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Heptadecafluoro-1-octanesulfonic acid potassium salt",,Measured,NR,Myriophyllum spicatum,Eurasian Watermilfoil,"Flowers, Trees, Shrubs, Ferns",Shoot,NR,,Lentic ,Fresh water,Field artificial,5,Active ingredient,,5.1,,3.2,,6.9,AI mg/L,Biochemistry,Chlorophyll A concentration,EC10,,42,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Hanson,M.L., P.K. Sibley, R.A. Brain, S.A. Mabury, and K.R. Solomon",80833,Microcosm Evaluation of the Toxicity and Risk to Aquatic Macrophytes from Perfluorooctane Sulfonic Acid,Arch. Environ. Contam. Toxicol.48(3): 329-337,2005,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN1390,2795393,"1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Heptadecafluoro-1-octanesulfonic acid potassium salt",,Measured,NR,Myriophyllum spicatum,Eurasian Watermilfoil,"Flowers, Trees, Shrubs, Ferns",Shoot,NR,,Lentic ,Fresh water,Field artificial,5,Active ingredient,,13.8,,2,,25.6,AI mg/L,Growth,Length,EC10,Shoot,28,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Hanson,M.L., P.K. Sibley, R.A. Brain, S.A. Mabury, and K.R. Solomon",80833,Microcosm Evaluation of the Toxicity and Risk to Aquatic Macrophytes from Perfluorooctane Sulfonic Acid,Arch. Environ. Contam. Toxicol.48(3): 329-337,2005,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN1391,2795393,"1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Heptadecafluoro-1-octanesulfonic acid potassium salt",,Measured,NR,Myriophyllum spicatum,Eurasian Watermilfoil,"Flowers, Trees, Shrubs, Ferns",Shoot,NR,,Lentic ,Fresh water,Field artificial,5,Active ingredient,,7.7,,4.1,,11.2,AI mg/L,Biochemistry,Chlorophyll A concentration,EC10,,14,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Hanson,M.L., P.K. Sibley, R.A. Brain, S.A. Mabury, and K.R. Solomon",80833,Microcosm Evaluation of the Toxicity and Risk to Aquatic Macrophytes from Perfluorooctane Sulfonic Acid,Arch. Environ. Contam. Toxicol.48(3): 329-337,2005,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN1392,2795393,"1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Heptadecafluoro-1-octanesulfonic acid potassium salt",,Measured,NR,Myriophyllum spicatum,Eurasian Watermilfoil,"Flowers, Trees, Shrubs, Ferns",Shoot,NR,,Lentic ,Fresh water,Field artificial,5,Active ingredient,,8.2,,0,,17.8,AI mg/L,Growth,Biomass,EC10,,14,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Hanson,M.L., P.K. Sibley, R.A. Brain, S.A. Mabury, and K.R. Solomon",80833,Microcosm Evaluation of the Toxicity and Risk to Aquatic Macrophytes from Perfluorooctane Sulfonic Acid,Arch. Environ. Contam. Toxicol.48(3): 329-337,2005,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN1393,2795393,"1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Heptadecafluoro-1-octanesulfonic acid potassium salt",,Measured,NR,Myriophyllum spicatum,Eurasian Watermilfoil,"Flowers, Trees, Shrubs, Ferns",Shoot,NR,,Lentic ,Fresh water,Field artificial,5,Active ingredient,,10,,6.1,,13.9,AI mg/L,Growth,Length,EC10,Root,42,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Hanson,M.L., P.K. Sibley, R.A. Brain, S.A. Mabury, and K.R. Solomon",80833,Microcosm Evaluation of the Toxicity and Risk to Aquatic Macrophytes from Perfluorooctane Sulfonic Acid,Arch. Environ. Contam. Toxicol.48(3): 329-337,2005,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN1394,2795393,"1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Heptadecafluoro-1-octanesulfonic acid potassium salt",,Measured,NR,Myriophyllum spicatum,Eurasian Watermilfoil,"Flowers, Trees, Shrubs, Ferns",Shoot,NR,,Lentic ,Fresh water,Field artificial,5,Active ingredient,,14.6,,0,,31.6,AI mg/L,Growth,Length,EC10,Root,14,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Hanson,M.L., P.K. Sibley, R.A. Brain, S.A. Mabury, and K.R. Solomon",80833,Microcosm Evaluation of the Toxicity and Risk to Aquatic Macrophytes from Perfluorooctane Sulfonic Acid,Arch. Environ. Contam. Toxicol.48(3): 329-337,2005,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN1395,2795393,"1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Heptadecafluoro-1-octanesulfonic acid potassium salt",,Measured,NR,Myriophyllum spicatum,Eurasian Watermilfoil,"Flowers, Trees, Shrubs, Ferns",Shoot,NR,,Lentic ,Fresh water,Field artificial,5,Active ingredient,,4.9,,2.4,,7.4,AI mg/L,Growth,Number of roots,EC10,Root,14,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Hanson,M.L., P.K. Sibley, R.A. Brain, S.A. Mabury, and K.R. Solomon",80833,Microcosm Evaluation of the Toxicity and Risk to Aquatic Macrophytes from Perfluorooctane Sulfonic Acid,Arch. Environ. Contam. Toxicol.48(3): 329-337,2005,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN1396,2795393,"1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Heptadecafluoro-1-octanesulfonic acid potassium salt",,Measured,NR,Myriophyllum spicatum,Eurasian Watermilfoil,"Flowers, Trees, Shrubs, Ferns",Shoot,NR,,Lentic ,Fresh water,Field artificial,5,Active ingredient,,9.9,,4.4,,15.5,AI mg/L,Growth,Length,EC10,Shoot,42,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Hanson,M.L., P.K. Sibley, R.A. Brain, S.A. Mabury, and K.R. Solomon",80833,Microcosm Evaluation of the Toxicity and Risk to Aquatic Macrophytes from Perfluorooctane Sulfonic Acid,Arch. Environ. Contam. Toxicol.48(3): 329-337,2005,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN1397,2795393,"1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Heptadecafluoro-1-octanesulfonic acid potassium salt",,Measured,NR,Myriophyllum spicatum,Eurasian Watermilfoil,"Flowers, Trees, Shrubs, Ferns",Shoot,NR,,Lentic ,Fresh water,Field artificial,5,Active ingredient,,3.5,,2.7,,4.3,AI mg/L,Growth,Biomass,EC10,,42,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Hanson,M.L., P.K. Sibley, R.A. Brain, S.A. Mabury, and K.R. Solomon",80833,Microcosm Evaluation of the Toxicity and Risk to Aquatic Macrophytes from Perfluorooctane Sulfonic Acid,Arch. Environ. Contam. Toxicol.48(3): 329-337,2005,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN1398,2795393,"1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Heptadecafluoro-1-octanesulfonic acid potassium salt",,Measured,NR,Myriophyllum spicatum,Eurasian Watermilfoil,"Flowers, Trees, Shrubs, Ferns",Shoot,NR,,Lentic ,Fresh water,Field artificial,5,Active ingredient,,4.7,,3.1,,6.4,AI mg/L,Growth,Number of roots,EC10,Root,28,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Hanson,M.L., P.K. Sibley, R.A. Brain, S.A. Mabury, and K.R. Solomon",80833,Microcosm Evaluation of the Toxicity and Risk to Aquatic Macrophytes from Perfluorooctane Sulfonic Acid,Arch. Environ. Contam. Toxicol.48(3): 329-337,2005,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN1399,2795393,"1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Heptadecafluoro-1-octanesulfonic acid potassium salt",,Measured,NR,Myriophyllum spicatum,Eurasian Watermilfoil,"Flowers, Trees, Shrubs, Ferns",Shoot,NR,,Lentic ,Fresh water,Field artificial,5,Active ingredient,,8.4,,4.1,,12.7,AI mg/L,Biochemistry,Carotenoid content,EC10,,14,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Hanson,M.L., P.K. Sibley, R.A. Brain, S.A. Mabury, and K.R. Solomon",80833,Microcosm Evaluation of the Toxicity and Risk to Aquatic Macrophytes from Perfluorooctane Sulfonic Acid,Arch. Environ. Contam. Toxicol.48(3): 329-337,2005,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN1400,2795393,"1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Heptadecafluoro-1-octanesulfonic acid potassium salt",,Measured,NR,Myriophyllum spicatum,Eurasian Watermilfoil,"Flowers, Trees, Shrubs, Ferns",Shoot,NR,,Lentic ,Fresh water,Field artificial,5,Active ingredient,,10,,4.1,,15.9,AI mg/L,Growth,Length,EC10,Root,28,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Hanson,M.L., P.K. Sibley, R.A. Brain, S.A. Mabury, and K.R. Solomon",80833,Microcosm Evaluation of the Toxicity and Risk to Aquatic Macrophytes from Perfluorooctane Sulfonic Acid,Arch. Environ. Contam. Toxicol.48(3): 329-337,2005,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN1401,2795393,"1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Heptadecafluoro-1-octanesulfonic acid potassium salt",,Measured,NR,Myriophyllum spicatum,Eurasian Watermilfoil,"Flowers, Trees, Shrubs, Ferns",Shoot,NR,,Lentic ,Fresh water,Field artificial,5,Active ingredient,,10.2,,0,,22.1,AI mg/L,Growth,Length,EC10,Root,14,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Hanson,M.L., P.K. Sibley, R.A. Brain, S.A. Mabury, and K.R. Solomon",80833,Microcosm Evaluation of the Toxicity and Risk to Aquatic Macrophytes from Perfluorooctane Sulfonic Acid,Arch. Environ. Contam. Toxicol.48(3): 329-337,2005,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN1402,2795393,"1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Heptadecafluoro-1-octanesulfonic acid potassium salt",,Measured,NR,Myriophyllum spicatum,Eurasian Watermilfoil,"Flowers, Trees, Shrubs, Ferns",Shoot,NR,,Lentic ,Fresh water,Field artificial,5,Active ingredient,,11.3,,6.1,,16.4,AI mg/L,Development,Organ/tissue formation,EC10,Node,42,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Hanson,M.L., P.K. Sibley, R.A. Brain, S.A. Mabury, and K.R. Solomon",80833,Microcosm Evaluation of the Toxicity and Risk to Aquatic Macrophytes from Perfluorooctane Sulfonic Acid,Arch. Environ. Contam. Toxicol.48(3): 329-337,2005,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN1403,2795393,"1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Heptadecafluoro-1-octanesulfonic acid potassium salt",,Measured,NR,Myriophyllum spicatum,Eurasian Watermilfoil,"Flowers, Trees, Shrubs, Ferns",Shoot,NR,,Lentic ,Fresh water,Field artificial,5,Active ingredient,,4.3,,2,,7.3,AI mg/L,Growth,Length,EC10,Shoot,14,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Hanson,M.L., P.K. Sibley, R.A. Brain, S.A. Mabury, and K.R. Solomon",80833,Microcosm Evaluation of the Toxicity and Risk to Aquatic Macrophytes from Perfluorooctane Sulfonic Acid,Arch. Environ. Contam. Toxicol.48(3): 329-337,2005,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN1404,2795393,"1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Heptadecafluoro-1-octanesulfonic acid potassium salt",,Measured,NR,Myriophyllum spicatum,Eurasian Watermilfoil,"Flowers, Trees, Shrubs, Ferns",Shoot,NR,,Lentic ,Fresh water,Field artificial,5,Active ingredient,,8.3,,0,,204.7,AI mg/L,Growth,Biomass,EC10,,14,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Hanson,M.L., P.K. Sibley, R.A. Brain, S.A. Mabury, and K.R. Solomon",80833,Microcosm Evaluation of the Toxicity and Risk to Aquatic Macrophytes from Perfluorooctane Sulfonic Acid,Arch. Environ. Contam. Toxicol.48(3): 329-337,2005,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN1405,2795393,"1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Heptadecafluoro-1-octanesulfonic acid potassium salt",,Measured,NR,Myriophyllum spicatum,Eurasian Watermilfoil,"Flowers, Trees, Shrubs, Ferns",Shoot,NR,,Lentic ,Fresh water,Field artificial,5,Active ingredient,,6.7,,4.4,,8.9,AI mg/L,Biochemistry,Chlorophyll B concentration,EC10,,28,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Hanson,M.L., P.K. Sibley, R.A. Brain, S.A. Mabury, and K.R. Solomon",80833,Microcosm Evaluation of the Toxicity and Risk to Aquatic Macrophytes from Perfluorooctane Sulfonic Acid,Arch. Environ. Contam. Toxicol.48(3): 329-337,2005,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN1406,2795393,"1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Heptadecafluoro-1-octanesulfonic acid potassium salt",,Measured,NR,Myriophyllum spicatum,Eurasian Watermilfoil,"Flowers, Trees, Shrubs, Ferns",Shoot,NR,,Lentic ,Fresh water,Field artificial,5,Active ingredient,,14.8,,0,,31.9,AI mg/L,Growth,Number of roots,EC10,Root,42,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Hanson,M.L., P.K. Sibley, R.A. Brain, S.A. Mabury, and K.R. Solomon",80833,Microcosm Evaluation of the Toxicity and Risk to Aquatic Macrophytes from Perfluorooctane Sulfonic Acid,Arch. Environ. Contam. Toxicol.48(3): 329-337,2005,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN1407,2795393,"1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Heptadecafluoro-1-octanesulfonic acid potassium salt",,Measured,NR,Myriophyllum spicatum,Eurasian Watermilfoil,"Flowers, Trees, Shrubs, Ferns",Shoot,NR,,Lentic ,Fresh water,Field artificial,5,Active ingredient,,6.1,,4.5,,7.8,AI mg/L,Biochemistry,Chlorophyll A concentration,EC10,,28,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Hanson,M.L., P.K. Sibley, R.A. Brain, S.A. Mabury, and K.R. Solomon",80833,Microcosm Evaluation of the Toxicity and Risk to Aquatic Macrophytes from Perfluorooctane Sulfonic Acid,Arch. Environ. Contam. Toxicol.48(3): 329-337,2005,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN1408,2795393,"1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Heptadecafluoro-1-octanesulfonic acid potassium salt",,Measured,NR,Myriophyllum spicatum,Eurasian Watermilfoil,"Flowers, Trees, Shrubs, Ferns",Shoot,NR,,Lentic ,Fresh water,Field artificial,5,Active ingredient,,4.6,,3.3,,5.9,AI mg/L,Growth,Length,EC10,Root,28,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Hanson,M.L., P.K. Sibley, R.A. Brain, S.A. Mabury, and K.R. Solomon",80833,Microcosm Evaluation of the Toxicity and Risk to Aquatic Macrophytes from Perfluorooctane Sulfonic Acid,Arch. Environ. Contam. Toxicol.48(3): 329-337,2005,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN1409,2795393,"1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Heptadecafluoro-1-octanesulfonic acid potassium salt",,Measured,NR,Myriophyllum spicatum,Eurasian Watermilfoil,"Flowers, Trees, Shrubs, Ferns",Shoot,NR,,Lentic ,Fresh water,Field artificial,5,Active ingredient,,3.3,,2.3,,4.3,AI mg/L,Growth,Biomass,EC10,,28,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Hanson,M.L., P.K. Sibley, R.A. Brain, S.A. Mabury, and K.R. Solomon",80833,Microcosm Evaluation of the Toxicity and Risk to Aquatic Macrophytes from Perfluorooctane Sulfonic Acid,Arch. Environ. Contam. Toxicol.48(3): 329-337,2005,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN1410,2795393,"1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Heptadecafluoro-1-octanesulfonic acid potassium salt",,Measured,NR,Myriophyllum spicatum,Eurasian Watermilfoil,"Flowers, Trees, Shrubs, Ferns",Shoot,NR,,Lentic ,Fresh water,Field artificial,5,Active ingredient,,4.1,,0.5,,7.6,AI mg/L,Development,Organ/tissue formation,EC10,Node,14,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Hanson,M.L., P.K. Sibley, R.A. Brain, S.A. Mabury, and K.R. Solomon",80833,Microcosm Evaluation of the Toxicity and Risk to Aquatic Macrophytes from Perfluorooctane Sulfonic Acid,Arch. Environ. Contam. Toxicol.48(3): 329-337,2005,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN1411,2795393,"1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Heptadecafluoro-1-octanesulfonic acid potassium salt",,Measured,NR,Myriophyllum spicatum,Eurasian Watermilfoil,"Flowers, Trees, Shrubs, Ferns",Shoot,NR,,Lentic ,Fresh water,Field artificial,5,Active ingredient,,9.4,,5.7,,13.2,AI mg/L,Growth,Length,EC10,Root,42,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Hanson,M.L., P.K. Sibley, R.A. Brain, S.A. Mabury, and K.R. Solomon",80833,Microcosm Evaluation of the Toxicity and Risk to Aquatic Macrophytes from Perfluorooctane Sulfonic Acid,Arch. Environ. Contam. Toxicol.48(3): 329-337,2005,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN1412,2795393,"1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Heptadecafluoro-1-octanesulfonic acid potassium salt",,Measured,NR,Myriophyllum spicatum,Eurasian Watermilfoil,"Flowers, Trees, Shrubs, Ferns",Shoot,NR,,Lentic ,Fresh water,Field artificial,5,Active ingredient,,5,,3,,7,AI mg/L,Biochemistry,Chlorophyll B concentration,EC10,,42,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Hanson,M.L., P.K. Sibley, R.A. Brain, S.A. Mabury, and K.R. Solomon",80833,Microcosm Evaluation of the Toxicity and Risk to Aquatic Macrophytes from Perfluorooctane Sulfonic Acid,Arch. Environ. Contam. Toxicol.48(3): 329-337,2005,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN1413,2795393,"1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Heptadecafluoro-1-octanesulfonic acid potassium salt",,Measured,NR,Myriophyllum spicatum,Eurasian Watermilfoil,"Flowers, Trees, Shrubs, Ferns",Shoot,NR,,Lentic ,Fresh water,Field artificial,5,Active ingredient,,4.3,,0,,12.3,AI mg/L,Growth,Biomass,EC10,,42,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Hanson,M.L., P.K. Sibley, R.A. Brain, S.A. Mabury, and K.R. Solomon",80833,Microcosm Evaluation of the Toxicity and Risk to Aquatic Macrophytes from Perfluorooctane Sulfonic Acid,Arch. Environ. Contam. Toxicol.48(3): 329-337,2005,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
